Choice|ITEM_BRG|NAMA_BRG|PACKING|HARGA|PARTAI|cl_na|Swatch_PRINT|ID
1|Y6402-0858B|B/O WALKING T-REX/SOUND+LIGHT|8 DZ|Rp.255,000/DZ|NEW SEPTEMBER||Y6402-0858B|647110
1|Y6402-6632B|B/O WALK TRICERATOP|8 DZ|Rp.255,000/DZ|NEW SEPTEMBER||Y6402-6632B|647111
1|Y6577-0787-31/WB|P/B 1:36 METAL POLICE CAR|7 DZ|Rp.360,000/DZ|NEW SEPTEMBER||Y6577-0787-31-WB|647112
1|Y6577-0991-2G/WB|P/B 1:32 METAL SPORT CAR|7 DZ|Rp.360,000/DZ|NEW SEPTEMBER||Y6577-0991-2G-WB|647113
0|R5177-91133E/WB|B/O PLAY GYM W/MUSIC+LIGHT|6 PC|Rp.250,000/PC|NEW JUNI 2||R5177-91133E-WB|647115
0|S1077-0768B-1/PVC|F/C BECKO TRUCK|5 DZ|Rp.195,000/DZ|NEW JUNI 2||S1077-0768B-1-PVC|647116
0|S0030-9943E-I/WB|B/O PINK FUNNY NETBOOK|24 PC|Rp.135,000/PC|READY S1||S0030-9943E-I-WB|647117
0|S0030-9948E-I/WB|B/O ENGLISH-INDO.120PC NOTEBOOK+CD|24 PC|Rp.150,000/PC|READY S1||S0030-9948E-I-WB|647118
0|S0030-9949E-I/WB|B/O ENGLISH-INDO.120PC NOTEBOOK+CD|24 PC|Rp.150,000/PC|READY S1||S0030-9949E-I-WB|647119
0|S0030-20270-BOY/WB|180FC LAYAR BERWARNA+3 BHS.COMP.|18 PC|Rp.150,000/PC|READY S1||S0030-20270-BOY-WB|647120
0|S0030-20270-GIRL/WB|180FC LAYAR BERWARNA+3 BHS COMP.|18 PC|Rp.150,000/PC|READY S1||S0030-20270-GIRL-WB|647121
0|S0030-20286E-I-BOY/WB|B/O 140 FUNCTION MY PAD COMPUTER|24 PC|Rp.75,000/PC|READY S1||S0030-20286E-I-BOY-WB|647122
0|S2935-0002|METAL 2-LOVE MONEY BOX|20 DZ|Rp.96,000/DZ|NEW JUNI 2||S2935-0002|647123
0|S2743-0166C+BAT|B/O MAGIC WAND W/MUSIC&LIGHT|30 DZ|Rp.96,000/DZ|READY S1||S2743-0166C+BAT|647124
0|S1615-0120E-2/BC|DOCTOR+MAN SET|12 DZ|Rp.150,000/DZ|NEW JUNI 2||S1615-0120E-2-BC|647125
0|S0030-2012+LED/BOY|B/O MY PAD W/LAMPU NEON|6 DZ|Rp.390,000/DZ|READY S1||S0030-2012+LED-BOY|647126
0|S0030-2012+LED/GIRL|B/O MY PAD W/LAMPU NEON|6 DZ|Rp.390,000/DZ|READY S1||S0030-2012+LED-GIRL|647127
0|S1969-0830/WB|R/C 4FC BEN-10 RACER|4 DZ|Rp.480,000/DZ|NEW JUNI 2||S1969-0830-WB|647128
0|S1166-3224|MINI CARD GAME|80 DZ|Rp.30,000/DZ|READY S1||S1166-3224|647129
0|R2585-0929-3/WB|R/C 3D LIGHT LAMBO W/LIGHT|4 DZ|Rp.510,000/DZ|NEW JUNI 2||R2585-0929-3-WB|647130
0|P2514-0263-1/BC|1DOLL+2DRESS+3ACC SET|10 DZ|Rp.165,000/DZ|READY R||P2514-0263-1-BC|647131
0|R1732-0808|F/C CHROMED ANGRY BIRD CAR|22 DZ|Rp.84,000/DZ|NEW JUNI 2||R1732-0808|647132
0|P2514-0263-2/BC|BEAUTY DOLL+4 DRESS|10 DZ|Rp.150,000/DZ|READY R||P2514-0263-2-BC|647133
0|T4733-3939-39|B/O POOH GUITAR W/SOUND|14 DZ|Rp.156,000/DZ|READY T3||T4733-3939-39|647135
